"","V1"
"1",-0.142801208612038
"2",-1.11581783402437
"3",-0.613161396882458
"4",1.06816967534636
"5",1.34291887995055
"6",1.26779366685863
"7",0.144867002112892
"8",1.81649736090028
"9",0.118806613657258
"10",-0.306440097654163
"11",0.71288833525968
"12",0.824126598003208
"13",0.193908688771318
"14",-0.972569515725479
"15",1.92105309618825
"16",-0.467297687944938
"17",0.774733183058875
"18",-0.360950879432312
"19",-0.279696902468943
"20",-0.781651747389561
"21",0.0503442858389415
"22",0.799355369301783
"23",-2.12513297292769
"24",-0.00804557363413572
"25",-0.852198900093222
"26",-1.79533911575583
"27",2.64405266578125
"28",-1.6817857355761
"29",0.43801644266054
"30",0.0431723694666317
