"","V1"
"1",1.75970804364293
"2",-0.0867131205861006
"3",1.33814253693862
"4",0.784947826338396
"5",-1.3956747427837
"6",0.0245485956906121
"7",0.450828869946916
"8",-0.39072272570369
"9",-0.860175748668332
"10",-0.305223105709697
"11",0.225611649114771
"12",0.971596406732589
"13",-0.37193623479789
"14",-0.931669653164566
"15",-0.286774618471771
"16",0.249490004924244
"17",-0.192542830052015
"18",-0.571744154171975
"19",1.19290419073647
"20",0.721719073892763
"21",-0.930782494053182
"22",1.53737487951355
"23",0.392289698447593
"24",-2.38628544956758
"25",-1.90285792558232
"26",1.18854130299644
"27",-2.37336428103704
"28",-0.774320207005726
"29",0.74254467109703
"30",0.706609683213409
