"","V1"
"1",0.507807347547626
"2",-1.48797994757389
"3",0.406484828910413
"4",-2.50139621333535
"5",0.283599266844314
"6",-0.502589610710388
"7",-2.77063242685205
"8",2.4812536798753
"9",-0.315514834127372
"10",-0.729150669162659
"11",-1.873173999682
"12",0.532255951711711
"13",-1.52784400009048
"14",0.356458773488057
"15",-1.5078390088784
"16",-1.43505551584099
"17",-0.0846821316791738
"18",-0.636022109230677
"19",0.178410712120934
"20",-2.00049867114767
"21",-0.930582792217498
"22",-0.291649690612524
"23",0.739999712892332
"24",0.486962027116771
"25",-0.0597446787729087
"26",-0.831164536682494
"27",1.83061163889164
"28",-1.80132581845588
"29",0.248652052281372
"30",2.12408371627661
