"","V1"
"1",0.532141269339344
"2",2.25700591839603
"3",1.58658361275461
"4",1.94602740984236
"5",-0.858802096150941
"6",-1.67585898268226
"7",-2.51938325364317
"8",-0.971697716967478
"9",-1.76862379468446
"10",-1.01877348874515
"11",1.49335391370755
"12",-1.29191046060764
"13",1.56805527792581
"14",0.908869445248892
"15",-0.108940183134558
"16",-0.63429804114158
"17",-0.570072669715104
"18",-2.70404952406519
"19",1.02039221075445
"20",-0.283448532338279
"21",-0.23446462027203
"22",0.799048916202944
"23",0.161816286351426
"24",0.642806042122975
"25",0.263870924702526
"26",-0.0669964093471414
"27",-2.07266812642133
"28",-0.106250158516427
"29",-1.59154687646947
"30",2.71360709534691
