"","V1"
"1",1.46658241861249
"2",0.770065489569625
"3",0.626042557301678
"4",-1.35098868534998
"5",0.622277713594315
"6",-0.315490242478304
"7",-0.250766867859323
"8",2.44932459100421
"9",-0.432620428347654
"10",-2.33542611144835
"11",0.301100033703332
"12",1.02940892907001
"13",0.137550165655515
"14",0.14923648543056
"15",1.24607698759328
"16",1.20329786621106
"17",-0.62116214197718
"18",-0.536576652711703
"19",0.212176101523796
"20",-0.812571994273011
"21",0.002732926638497
"22",1.22874989313546
"23",-0.212259671530331
"24",0.0195922929522165
"25",1.53205123796895
"26",-0.0564004235318449
"27",1.36352365212669
"28",-2.66636119295566
"29",-1.39750741551385
"30",-1.30359822827108
