"","V1"
"1",-0.209894587114533
"2",0.210173464501626
"3",0.689441300012844
"4",-0.931483822974415
"5",-0.838012774362849
"6",-2.98396356407729
"7",2.04880484868206
"8",-0.533617877472577
"9",1.49418589822295
"10",-0.187608981901683
"11",1.07890743273284
"12",0.154773317875656
"13",-0.699198389141793
"14",0.232953918349838
"15",0.975206460846896
"16",0.348814451639127
"17",1.15975360263643
"18",0.38923305518816
"19",0.0803574760522068
"20",1.87939327562028
"21",-1.4666527928164
"22",-0.68791843466866
"23",-0.469234935834066
"24",-1.91933343084783
"25",-0.159326780977967
"26",2.0688041724398
"27",-1.66652337646563
"28",-0.264470558992771
"29",-1.29472004537698
"30",0.0484687847088492
