"","V1"
"1",0.752786922415671
"2",-1.24503737612839
"3",-1.18450253428839
"4",1.06350647896262
"5",-0.99480568780162
"6",0.290040400310737
"7",-0.661076242141387
"8",-0.583288206639886
"9",0.402881381011657
"10",-0.552476457314093
"11",-2.07485529426557
"12",0.958392279726239
"13",-0.332680112651811
"14",-1.14645273508131
"15",-1.05618111772439
"16",0.0688050399910012
"17",-2.11960120183119
"18",1.43514202836355
"19",0.759073508375972
"20",0.80153736448694
"21",-1.95536314914244
"22",0.958972681500045
"23",-1.53188450239941
"24",0.57678665677232
"25",-2.28988994430332
"26",1.66980897592773
"27",-0.729437977054001
"28",-2.56432651210409
"29",-1.53374769027793
"30",0.175368593242459
